rank;best_yield;iteration;repetition;best_unc;max_unc;av_unc;std_unc;av_unc_train;av_unc_test;tota_av_unc
5;0.28950979700210044;129;73;0.20287751476590044;0.231878229605893;0.21182594410515723;0.009591383680974818;0.18961559831010952;0.2139140962739224;0.2118259441051572
2;0.40779994051614066;130;64;0.24212669706322476;0.2870219696255995;0.2399343024418318;0.02111702255319736;0.16403400463991819;0.24712941263973245;0.2399343024418318
3;0.3354803170410008;130;66;0.21858247197944464;0.24838937533930833;0.22109136130273802;0.013978006922002954;0.1876266194223245;0.22426371388299104;0.22109136130273802
3;0.3926323993685659;131;60;0.23599151230315651;0.2773065955304111;0.23492005282804382;0.022478071200238734;0.1560925874153513;0.24245420430115422;0.23492005282804382
2;0.4831862735636237;130;70;0.26467191512569854;0.30364119149003466;0.25300684570552123;0.0237046000291892;0.1622251689527204;0.26161266395792504;0.25300684570552123
2;0.33382974912225183;131;61;0.2265036918970958;0.26451659322982113;0.2313304243546238;0.016672789314813856;0.17730219418262555;0.23649432081899452;0.23133042435462378
2;0.414543505820107;130;67;0.23942449208963415;0.2828345909822946;0.2385470712624468;0.021319432780517254;0.1689068408167594;0.24514874670740502;0.23854707126244679
0;0.33311803627378495;130;68;0.24197678890340357;0.274081811083118;0.24117217462621468;0.013315701580912068;0.20622907829130127;0.24448467057243237;0.24117217462621468
0;0.3623570504482265;130;69;0.22316866049706205;0.2622842176705554;0.22285207439295066;0.017416572056629553;0.16389144667688435;0.2284413569918365;0.2228520743929507
2;0.36472228839110166;129;77;0.21725615647705604;0.25741013475515306;0.22674313799631382;0.01644176758226681;0.16749383673064563;0.23231358512385525;0.22674313799631376
1;0.32370854195847887;129;74;0.22236631904897325;0.26402929765134;0.22321931317127963;0.015741197918022885;0.18294670829297388;0.2270056264504366;0.22321931317127963
0;0.307345328256924;129;76;0.20887716324213754;0.2362867461220182;0.21854677464931851;0.008810259745835264;0.1931280165097694;0.2209365724231223;0.21854677464931851
0;0.3426101955974933;129;75;0.22923915767334974;0.26646881832706193;0.22690589295144772;0.018782995369286293;0.17480499188492202;0.23180426826539458;0.22690589295144772
4;0.3975139883484764;130;71;0.26081219154047003;0.3054729433184482;0.264757072323802;0.019932884530209992;0.1860141398630159;0.2722216553724724;0.264757072323802
4;0.3627707289304713;130;72;0.2581685090448228;0.2727956131570586;0.235068522036013;0.017651841732636005;0.17311779060421104;0.2409412570897761;0.235068522036013
2;0.33090499733811385;131;62;0.22518156321960045;0.265805346215539;0.23020962048033913;0.01540736278442899;0.18528346661849623;0.23450356100636405;0.23020962048033913
6;0.3303398575829909;131;63;0.2614809392683178;0.2883300770783385;0.2425362936172811;0.019225958479590605;0.16780869403784376;0.24967858915483074;0.2425362936172811
16;0.3504309870886575;131;65;0.2505533768950398;0.2505533768950398;0.22349893667516843;0.01226826610471985;0.18737883153403742;0.22695121491262316;0.2234989366751684
5;0.2889406653030519;130;73;0.20814408319659813;0.23658869529813187;0.21652620319884375;0.009023736447492825;0.20044239037702039;0.2180508982133145;0.21652620319884372
2;0.4060490221948976;131;64;0.24418740402975253;0.2871812559359486;0.2399012109524794;0.021613482050962786;0.1648654956286267;0.2470729554984111;0.2399012109524794
